relative_path	original_path	source_stage	size_bytes	sha256	paper_role	paper_package_path
data/frozen/vision/artifacts/exp13/exp13_geometry_ShapeResNet50_ShapeResNet_texture_natural.npz	artifacts(1).zip!/artifacts/exp13/exp13_geometry_ShapeResNet50_ShapeResNet_texture_natural.npz	vision	9476	8e99141ec62af841388f01da2bb9cd4348c0d6bd92d09fd8134f2959b1c4974c	frozen_evidence	data/original/artifacts/exp13/exp13_geometry_ShapeResNet50_ShapeResNet_texture_natural.npz
data/frozen/vision/tables/exp10_imagenet_adv_pier.csv	tables(1).zip!/tables/exp10_imagenet_adv_pier.csv	vision	1782	a496520f38f6a09220f8cf4afedc68a4338bcced10025812dff764784671ad2f	frozen_evidence	data/original/tables/exp10_imagenet_adv_pier.csv
data/frozen/vision/tables/exp11_shape_texture_pier.csv	tables(1).zip!/tables/exp11_shape_texture_pier.csv	vision	1675	6d348c72d83da0533458e738cac31b274220953ef2e4737bf6aa32b779af0af9	frozen_evidence	data/original/tables/exp11_shape_texture_pier.csv
data/frozen/vision/tables/exp12_shape_texture_pier_separated.csv	tables(1).zip!/tables/exp12_shape_texture_pier_separated.csv	vision	3448	cd9d57a76e6ab4263b622e70e43302301246c1de0018d78e46f37aea1e1a2179	frozen_evidence	data/original/tables/exp12_shape_texture_pier_separated.csv
data/frozen/traffic/tables/exp14_multicity_tabular_summary.csv	tables(1).zip!/tables/exp14_multicity_tabular_summary.csv	traffic	16173	a62a135b13518432af5c242f3e95a2e481d8cd750021e658e292cb94d5d76700	frozen_evidence	data/original/tables/exp14_multicity_tabular_summary.csv
data/frozen/traffic/tables/exp14_multicity_tabular_summary_peer_weights_long.csv	tables(1).zip!/tables/exp14_multicity_tabular_summary_peer_weights_long.csv	traffic	61667	3f47367b6c526573d794a48ca528747cd119db2b22eaecc4e25bdaaa9bdaed9f	frozen_evidence	data/original/tables/exp14_multicity_tabular_summary_peer_weights_long.csv
data/frozen/synthetic_legacy/tables/exp1_scaling_law.csv	tables(1).zip!/tables/exp1_scaling_law.csv	synthetic_legacy	50545	c2e5bd515e27d1442a9c05712d528ca21e6dbf14530d0fbe7c846bca3b16e115	frozen_evidence	data/original/tables/exp1_scaling_law.csv
data/frozen/synthetic_legacy/tables/exp2_saturation.csv	tables(1).zip!/tables/exp2_saturation.csv	synthetic_legacy	119918	f4f98503e17ea5c2283bd9601c25870f850b054473408b4b90f1f7588b6a78c2	frozen_evidence	data/original/tables/exp2_saturation.csv
data/frozen/synthetic_legacy/tables/exp3_shapley.csv	tables(1).zip!/tables/exp3_shapley.csv	synthetic_legacy	410	9c0747e37a90d941134c5f22bb0ade4540792c444963a9c9ea24b4288d89ab1c	frozen_evidence	data/original/tables/exp3_shapley.csv
data/frozen/bert_legacy/tables/exp4_bert_disco_dosesplit.csv	tables(1).zip!/tables/exp4_bert_disco_dosesplit.csv	bert_legacy	2283	211ef7fca15057ffecb402b234b63629788a6b11630f3ee0f9812d678e9d3826	frozen_evidence	data/original/tables/exp4_bert_disco_dosesplit.csv
data/frozen/bert_legacy/tables/exp5_dual_mode_residuals.csv	tables(1).zip!/tables/exp5_dual_mode_residuals.csv	bert_legacy	234299	7274ff6fa321229c5885831f63f86751e32d59241171ed972486ef29d1968914	frozen_evidence	data/original/tables/exp5_dual_mode_residuals.csv
data/frozen/bert_legacy/tables/exp6_bert_multicontext_pier.csv	tables(1).zip!/tables/exp6_bert_multicontext_pier.csv	bert_legacy	29044	87fe79408890e3ca632d9fb5c5d5e9b7211a558bcd4d31e2d9a59e608edd6986	frozen_evidence	data/original/tables/exp6_bert_multicontext_pier.csv
