target,family,dose,trackwise_pier,track_mean_response_pier,cancellation_gap,relative_hidden_fraction,between_track_std,between_track_range,endpoint_sign_changed_from_v21
ibm-granite/granite-3.3-8b-instruct,content_deletion,0.4,0.19957769283898386,0.17900998366885112,0.020567709170132738,0.10309807927998964,0.004346256537910983,0.01026417031994313,False
ibm-granite/granite-3.3-8b-instruct,irrelevant_context,0.0,0.2140843804681009,0.2140843804681009,0.0,0.0,0.0,0.0,False
ibm-granite/granite-3.3-8b-instruct,irrelevant_context,64.0,0.21468496319254063,0.20122470216633914,0.013460261026201455,0.06257486210016057,0.004600489028238402,0.010713938749166985,False
ibm-granite/granite-3.3-8b-instruct,irrelevant_context,128.0,0.2088816650575458,0.19399501619772516,0.014886648859820628,0.0712057507069702,0.0023994451683127653,0.005497068362912102,False
ibm-granite/granite-3.3-8b-instruct,irrelevant_context,256.0,0.20123427525860776,0.1914573619485776,0.009776913310030177,0.048559357291397674,0.0041358755587423525,0.009640344000454437,False
ibm-granite/granite-3.3-8b-instruct,irrelevant_context,512.0,0.19710203110699548,0.18882746578632367,0.008274565320671811,0.04197057652872934,0.0030577790139967773,0.007249992174705827,False
microsoft/Phi-4-reasoning-plus,content_deletion,0.0,0.1433610329326883,0.1433610329326883,0.0,0.0,0.0,0.0,False
microsoft/Phi-4-reasoning-plus,content_deletion,0.1,0.14533240070779244,0.13867760472906115,0.006654795978731297,0.046043834166583045,0.0025143971706578627,0.00580238721638163,False
microsoft/Phi-4-reasoning-plus,content_deletion,0.2,0.14967799693690872,0.14289919311711186,0.006778803819796886,0.04555745425951106,0.002392229773855565,0.005622881425397389,False
microsoft/Phi-4-reasoning-plus,content_deletion,0.3,0.15143783556988077,0.14262854723922486,0.008809288330655909,0.05847316469737168,0.002209363436241417,0.005197383284231094,False
microsoft/Phi-4-reasoning-plus,content_deletion,0.4,0.15129480753649963,0.14366407870320635,0.007630728833293262,0.05069291566886652,0.0035190659571316418,0.0082829835350577,False
microsoft/Phi-4-reasoning-plus,irrelevant_context,0.0,0.14645465187971027,0.14645465187971027,0.0,0.0,0.0,0.0,False
microsoft/Phi-4-reasoning-plus,irrelevant_context,64.0,0.154038174201289,0.145267462777975,0.008770711423314018,0.057015872992403016,0.002185340631482835,0.00516039060255859,False
microsoft/Phi-4-reasoning-plus,irrelevant_context,128.0,0.1605544151104805,0.15166511085402004,0.008889304256460465,0.055424502992879335,0.00236913016327498,0.005332889808135582,False
microsoft/Phi-4-reasoning-plus,irrelevant_context,256.0,0.16197246411872418,0.1553853621797465,0.006587101938977649,0.04075069470327839,0.0024434837287413773,0.005705988602892659,False
microsoft/Phi-4-reasoning-plus,irrelevant_context,512.0,0.16372176980227518,0.1587614491039632,0.004960320698311979,0.0303623987901581,0.0021666624661329753,0.004892106576794683,False
microsoft/phi-4,content_deletion,0.0,0.2132696235507308,0.2132696235507308,0.0,0.0,0.0,0.0,True
microsoft/phi-4,content_deletion,0.1,0.22409683692882282,0.21382473368060667,0.010272103248216096,0.045870383189938954,0.004143554050540952,0.00955314821190952,True
microsoft/phi-4,content_deletion,0.2,0.22526009708193845,0.20775737556996104,0.017502721511977407,0.07774549740627348,0.0038799589993414514,0.009230000792389587,True
microsoft/phi-4,content_deletion,0.3,0.2242930129922819,0.20129334694738973,0.022999666044892182,0.102583652778152,0.0038055531643999842,0.008896727959282336,True
microsoft/phi-4,content_deletion,0.4,0.22015614808430492,0.19673897981635524,0.023417168267949703,0.10650841486573956,0.0067892480982900145,0.015445645314888522,True
microsoft/phi-4,irrelevant_context,0.0,0.21687676313096832,0.21687676313096832,0.0,0.0,0.0,0.0,False
