target,family,split_seed,dose,weight_source,mean_total_variation,mean_jensen_shannon_divergence,top1_semantic_answer_agreement,correctness_agreement,vector_overall_total_variation,vector_endpoint_delta,scalar_endpoint_delta,endpoint_direction_support,fit_selected_single_peer,single_peer_overall_total_variation,vector_convexity_improvement,scalar_convexity_improvement,convexity_direction_support,vector_sibling_removal_inflation,scalar_sibling_removal_inflation,sibling_direction_support,scalar_vector_weight_l1_change,scalar_vector_weight_l2_change
microsoft/phi-4,content_deletion,20260828,0.40000000000000002,scalar_fitted,0.46029464490285221,0.20038596206310347,0.56904761904761902,0.76666666666666661,0.43013514152481613,0.071806799440488289,0.025472035406182897,True,Qwen/Qwen2.5-7B-Instruct,0.45414807070544005,0.024012929180623921,0.018684261507855071,True,0.0050116984668653886,0.0080218843366269832,True,0.24485603185244381,0.11418304476253216
microsoft/phi-4,content_deletion,20260828,0,vector_fitted,0.39662195507894438,0.16916735955884604,0.68928571428571428,0.82499999999999996,0.43629402917659094,0.068109140757635744,0.025472035406182897,True,Qwen/Qwen2.5-7B-Instruct,0.45414807070544005,0.017854041528849118,0.018684261507855071,True,0.0050116984668653886,0.0080218843366269832,True,0.24485603185244381,0.11418304476253216
microsoft/phi-4,content_deletion,20260828,0.10000000000000001,vector_fitted,0.42606528195422044,0.18289332476335307,0.64642857142857146,0.8035714285714286,0.43629402917659094,0.068109140757635744,0.025472035406182897,True,Qwen/Qwen2.5-7B-Instruct,0.45414807070544005,0.017854041528849118,0.018684261507855071,True,0.0050116984668653886,0.0080218843366269832,True,0.24485603185244381,0.11418304476253216
microsoft/phi-4,content_deletion,20260828,0.20000000000000001,vector_fitted,0.43981203063210889,0.18777664124815177,0.63452380952380949,0.79642857142857137,0.43629402917659094,0.068109140757635744,0.025472035406182897,True,Qwen/Qwen2.5-7B-Instruct,0.45414807070544005,0.017854041528849118,0.018684261507855071,True,0.0050116984668653886,0.0080218843366269832,True,0.24485603185244381,0.11418304476253216
microsoft/phi-4,content_deletion,20260828,0.29999999999999999,vector_fitted,0.45423978238110096,0.19490073655391241,0.61071428571428577,0.78095238095238106,0.43629402917659094,0.068109140757635744,0.025472035406182897,True,Qwen/Qwen2.5-7B-Instruct,0.45414807070544005,0.017854041528849118,0.018684261507855071,True,0.0050116984668653886,0.0080218843366269832,True,0.24485603185244381,0.11418304476253216
microsoft/phi-4,content_deletion,20260828,0.40000000000000002,vector_fitted,0.46473109583658012,0.20099296859600863,0.5797619047619047,0.77142857142857146,0.43629402917659094,0.068109140757635744,0.025472035406182897,True,Qwen/Qwen2.5-7B-Instruct,0.45414807070544005,0.017854041528849118,0.018684261507855071,True,0.0050116984668653886,0.0080218843366269832,True,0.24485603185244381,0.11418304476253216
microsoft/phi-4,content_deletion,20260829,0,scalar_fitted,0.40458945530170037,0.17624433900681552,0.66428571428571426,0.84285714285714286,0.42305922948267638,0.036648040909369017,0.0035927133776428866,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.44269001765858507,0.019630788175908687,0.017660420263521492,True,0.0064666825433224995,0.0061381490294590557,True,0.17423844597711677,0.084610210557688956
microsoft/phi-4,content_deletion,20260829,0.10000000000000001,scalar_fitted,0.41339935813749823,0.17988147284219247,0.67142857142857137,0.82619047619047625,0.42305922948267638,0.036648040909369017,0.0035927133776428866,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.44269001765858507,0.019630788175908687,0.017660420263521492,True,0.0064666825433224995,0.0061381490294590557,True,0.17423844597711677,0.084610210557688956
microsoft/phi-4,content_deletion,20260829,0.20000000000000001,scalar_fitted,0.41956831407136624,0.18042588507086174,0.65595238095238106,0.80476190476190479,0.42305922948267638,0.036648040909369017,0.0035927133776428866,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.44269001765858507,0.019630788175908687,0.017660420263521492,True,0.0064666825433224995,0.0061381490294590557,True,0.17423844597711677,0.084610210557688956
microsoft/phi-4,content_deletion,20260829,0.29999999999999999,scalar_fitted,0.43650152369174788,0.18924427533277019,0.62261904761904752,0.79047619047619055,0.42305922948267638,0.036648040909369017,0.0035927133776428866,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.44269001765858507,0.019630788175908687,0.017660420263521492,True,0.0064666825433224995,0.0061381490294590557,True,0.17423844597711677,0.084610210557688956
