ContextType,ContextLabel,TargetModel,Dose,MeanPIER,StdPIER,NumEvalPoints,NumFitPoints,ContextRawSize
sentiment,sent_strong_positive_(p>=0.8),DistilBERT,0.6000000000000001,0.1319875758950921,0.10518545552352666,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),DistilBERT,0.7000000000000001,0.16541020346172733,0.11871861188199812,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),DistilBERT,0.8,0.22718253726364362,0.12652660680585734,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),DistilBERT,0.9,0.2955021245954642,0.11873294798656674,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.0,0.04824059650462321,0.14323397512206482,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.1,0.06785695592644651,0.1888604982202007,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.2,0.09661493803251123,0.22530076278251712,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.30000000000000004,0.0951078944669756,0.18116646422260363,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.4,0.14326785884584395,0.21496401030448586,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.5,0.14442089404739722,0.20150665190276945,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.6000000000000001,0.13885533166591538,0.16886653069967048,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.7000000000000001,0.13238311082963836,0.15565901501654747,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.8,0.1364962194998098,0.1389522478966126,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.9,0.18018691820387203,0.13457263901401037,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.0,0.27466912949875044,0.12965010852875444,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.1,0.2634589892199303,0.10491091944904472,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.2,0.2619993881875761,0.10703371971419094,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.30000000000000004,0.22486276257663537,0.0920868975280561,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.4,0.2145338873173753,0.09165252829603852,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.5,0.18495430951384734,0.09450750401743593,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.6000000000000001,0.17564122270145424,0.10436470535412036,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.7000000000000001,0.16104918432928528,0.10430313549840137,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.8,0.13080959255873945,0.10771161415422706,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.9,0.09317459962726866,0.08727989182801808,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.0,0.07246653697544427,0.0998479291262026,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.1,0.08424245309045465,0.12733976460706703,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.2,0.11569113565850563,0.16387504480791107,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.30000000000000004,0.14381775839527017,0.1468228546190495,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.4,0.16764096365462502,0.15601693997476612,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.5,0.15648309428486706,0.14142774774313488,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.6000000000000001,0.16737838901865357,0.15098847721992215,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.7000000000000001,0.148794868951062,0.1581738480618527,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.8,0.1384131861233647,0.11928239265764773,100,1000,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.9,0.15434018320913137,0.10396006022580975,100,1000,438
negation,has_negation,BERT,0.0,0.07365102467941716,0.15153349630069063,99,980,197
negation,has_negation,BERT,0.1,0.12395884405961277,0.22302288943168347,99,980,197
negation,has_negation,BERT,0.2,0.10435924263856662,0.18809908653455906,99,980,197
negation,has_negation,BERT,0.30000000000000004,0.1696123999621915,0.18146059460154054,99,980,197
negation,has_negation,BERT,0.4,0.18132543598856865,0.1801678514222367,99,980,197
negation,has_negation,BERT,0.5,0.18826846352058382,0.17483740543429696,99,980,197
negation,has_negation,BERT,0.6000000000000001,0.21429051448896147,0.17903257667546663,99,980,197
negation,has_negation,BERT,0.7000000000000001,0.2099105706398475,0.1653205605228383,99,980,197
negation,has_negation,BERT,0.8,0.21208757275440124,0.15972982037258823,99,980,197
negation,has_negation,BERT,0.9,0.2505533241463971,0.14554120114780314,99,980,197
negation,has_negation,DistilBERT,0.0,0.4016290977497821,0.22879430775008708,99,980,197
negation,has_negation,DistilBERT,0.1,0.3955458285502217,0.17440181880113026,99,980,197
negation,has_negation,DistilBERT,0.2,0.3551979437788244,0.16715541844068374,99,980,197
