Eval_Point,BERT_Uniqueness_R,BERT_Redundancy_R,DistilBERT_Uniqueness_R,DistilBERT_Redundancy_R,RoBERTa_Uniqueness_R,RoBERTa_Redundancy_R,ALBERT_Uniqueness_R,ALBERT_Redundancy_R,XLNet_Uniqueness_R,XLNet_Redundancy_R
Sample 84 $\theta=0.50$,0.3807645810213679,6.661338147750939e-16,0.0612886614199466,2.220446049250313e-16,0.08842488706130125,5.828670879282072e-16,0.10002129944013305,2.220446049250313e-16,0.22762368167351188,1.3461454173580023e-15
Sample 84 $\theta=0.60$,0.3696605140292568,7.771561172376096e-16,0.08669164120626155,1.6653345369377348e-16,0.394556443127553,2.220446049250313e-15,0.01928824010505259,2.7755575615628914e-16,0.1926826624291077,5.551115123125783e-16
Sample 84 $\theta=0.70$,0.03710067895735958,2.220446049250313e-16,0.006951072622353505,2.7755575615628914e-16,0.05932209878930872,1.6653345369377348e-16,0.05087084831369232,2.7755575615628914e-16,0.12049795775746369,8.326672684688674e-16
Sample 84 $\theta=0.80$,0.15292249043558137,4.440892098500626e-16,0.37216458970617944,1.942890293094024e-16,0.09173577704176294,1.1102230246251565e-16,0.16100534777724618,3.3306690738754696e-16,0.1516327844162363,1.1102230246251565e-15
Sample 84 $\theta=0.90$,0.12924755777474473,2.220446049250313e-16,0.39033947222578463,2.0122792321330962e-16,0.23733646979103762,8.881784197001252e-16,0.1171599337976178,3.3306690738754696e-16,0.058993200038617744,7.771561172376096e-16
Sample 85 $\theta=0.00$,0.029378362714130767,1.0408340855860843e-17,0.09736830635440752,2.220446049250313e-16,0.006646572623648197,3.122502256758253e-17,0.04783828590723535,1.3877787807814457e-16,0.04650673816160303,2.402592014227878e-16
Sample 85 $\theta=0.10$,0.02110142412865846,6.938893903907228e-18,0.023667144959615305,2.220446049250313e-16,0.017685251251118618,4.7271214720367993e-17,0.13946833125723587,1.6653345369377348e-16,0.06961917334071607,3.712308238590367e-16
Sample 85 $\theta=0.20$,0.018454855158408334,4.85722573273506e-17,0.39227214560447504,5.551115123125783e-16,0.008367953700769945,1.0972125985553305e-16,0.22552821348070562,3.122502256758253e-17,0.027918201148651112,1.2967057982926633e-16
Sample 85 $\theta=0.30$,0.007882330723986003,2.7755575615628914e-17,0.035602878582972675,2.7755575615628914e-16,0.027742804482328146,9.107298248878237e-17,0.1597202938857587,2.220446049250313e-16,0.08764229477642815,4.698932215552176e-16
Sample 85 $\theta=0.40$,0.45752878932988217,6.661338147750939e-16,0.03387454094618492,3.3306690738754696e-16,0.2193920853283973,1.190887666258078e-15,0.06829622135717106,2.220446049250313e-16,0.1678047500453499,1.0096090630185017e-15
