ContextType,ContextLabel,TargetModel,Dose,MeanDisagreement,StdDisagreement,NumPoints,ContextRawSize
length,len_medium_(8-15),RoBERTa,0.9,0.3212338988753618,0.10275866733236848,200,246
length,len_medium_(8-15),ALBERT,0.0,0.1538281404575173,0.1117282738615609,200,246
length,len_medium_(8-15),ALBERT,0.1,0.160278051869318,0.10684470466088297,200,246
length,len_medium_(8-15),ALBERT,0.2,0.16924107919854578,0.10321909773697965,200,246
length,len_medium_(8-15),ALBERT,0.30000000000000004,0.2850494619748497,0.12436064087964006,200,246
length,len_medium_(8-15),ALBERT,0.4,0.35893809487657563,0.07856649808061744,200,246
length,len_medium_(8-15),ALBERT,0.5,0.350400263108022,0.08447487447981976,200,246
length,len_medium_(8-15),ALBERT,0.6000000000000001,0.339255300054283,0.08798902180207513,200,246
length,len_medium_(8-15),ALBERT,0.7000000000000001,0.30657760756519564,0.1034717342402787,200,246
length,len_medium_(8-15),ALBERT,0.8,0.3061351303711126,0.10599084993590502,200,246
length,len_medium_(8-15),ALBERT,0.9,0.293416923629411,0.09924390150591123,200,246
length,len_medium_(8-15),XLNet,0.0,0.14700830179306648,0.1006606982872892,200,246
length,len_medium_(8-15),XLNet,0.1,0.15646097774326337,0.09768794402165315,200,246
length,len_medium_(8-15),XLNet,0.2,0.16479233541504074,0.09719868786539528,200,246
length,len_medium_(8-15),XLNet,0.30000000000000004,0.23165591664015664,0.10343524310020609,200,246
length,len_medium_(8-15),XLNet,0.4,0.2714808233585791,0.08560576759397324,200,246
length,len_medium_(8-15),XLNet,0.5,0.2692034110140958,0.07747646930893227,200,246
length,len_medium_(8-15),XLNet,0.6000000000000001,0.26610918347316326,0.08592406855800257,200,246
length,len_medium_(8-15),XLNet,0.7000000000000001,0.25100054823822576,0.08714287149266568,200,246
length,len_medium_(8-15),XLNet,0.8,0.24642704649973893,0.08670523037999953,200,246
length,len_medium_(8-15),XLNet,0.9,0.2453231904625136,0.08169137979900157,200,246
sentiment,sent_strong_negative_(p<=0.2),BERT,0.0,0.13182356995988811,0.11782396396872585,200,406
sentiment,sent_strong_negative_(p<=0.2),BERT,0.1,0.1457688106050773,0.10934924143083855,200,406
sentiment,sent_strong_negative_(p<=0.2),BERT,0.2,0.16474169898789115,0.10584669451566346,200,406
sentiment,sent_strong_negative_(p<=0.2),BERT,0.30000000000000004,0.21961662173718652,0.09410607958839229,200,406
sentiment,sent_strong_negative_(p<=0.2),BERT,0.4,0.23756654309741862,0.08656565930002849,200,406
sentiment,sent_strong_negative_(p<=0.2),BERT,0.5,0.25483002040491554,0.1021818477924274,200,406
sentiment,sent_strong_negative_(p<=0.2),BERT,0.6000000000000001,0.24772821274280432,0.10125187072908086,200,406
sentiment,sent_strong_negative_(p<=0.2),BERT,0.7000000000000001,0.2513652053894475,0.11058243840437802,200,406
sentiment,sent_strong_negative_(p<=0.2),BERT,0.8,0.3054313960816944,0.1311242405397361,200,406
sentiment,sent_strong_negative_(p<=0.2),BERT,0.9,0.34114783727294706,0.14152346019498313,200,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.0,0.3525532559207932,0.19835669016085758,200,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.1,0.3726513795128267,0.14248557287315908,200,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.2,0.3809052659113149,0.10781464001997841,200,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.30000000000000004,0.32118160769019594,0.10794193600964455,200,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.4,0.31049570808856514,0.10446367083013554,200,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.5,0.30329678715977937,0.10363190466177817,200,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.6000000000000001,0.29974296665692235,0.12116609973458789,200,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.7000000000000001,0.27781342456582936,0.12445083851330267,200,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.8,0.36430143847537694,0.19586961604441652,200,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.9,0.43302672329758934,0.19964949229510778,200,406
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.0,0.1272222988332942,0.10409190958643476,200,406
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.1,0.14203612623998196,0.10171263642635767,200,406
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.2,0.1705551914347234,0.11426872012549345,200,406
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.30000000000000004,0.22888582972558652,0.09662115021010498,200,406
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.4,0.252852769984529,0.09842351634785008,200,406
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.5,0.26732460365783484,0.10763989313345429,200,406
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.6000000000000001,0.27283692649827573,0.10700637746806739,200,406
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.7000000000000001,0.2541148739003984,0.10119482545534247,200,406
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.8,0.29242977783520474,0.11667874305919178,200,406
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.9,0.33246809921089154,0.11024980400911927,200,406
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.0,0.13506759838619473,0.10854323059272125,200,406
