City,HorizonSteps,MeanFlow_Test,Local_MAE_Ratio,Persist_MAE,Skill_vs_Persist,Local_Train_MAE,Global_Train_MAE,Local_MAE,Global_MAE,Router_MAE,Delta_Global,Delta_Router,PIER,FitDistance,PairwiseMeanAbsDiff,ClosestPeerName,ClosestPeerMeanAbsDiff,WeightEntropy,WeightEntropyNorm,EffectivePeers_HHI,TopPeer1,TopPeer1Weight,TopPeer2,TopPeer2Weight,TopPeer3,TopPeer3Weight,TopKMass3,NumNonZeroWeights,NumTrain,NumVal,NumTest,NumFitSamples,NumEvalSamples,NumPeers,CacheHash,ModelType
graz,12,214.02973767607753,0.20923368993414226,64.47631734326235,0.30544681187065553,42.71036533357927,52.31058963371477,44.78223176960221,52.47897253723103,46.73060847623826,7.6967407676288175,1.9483767066360471,12.648718798161054,1113.258036610145,55.47606615575846,augsburg,14.680386997579602,2.3340362424776164,0.679686936348837,8.65561066706817,constance,0.20062680239647332,augsburg,0.17583778012220527,stuttgart,0.10374828757918088,0.48021287009785946,19,300000,165965,165978,4000,4000,31,abd00d5cef12,histgb
hamburg,12,146.6556,0.33552512847219085,60.8693,0.1916016936096485,46.54351983581609,52.267203049687204,49.206639031166226,54.60331065102601,49.784412970183396,5.396671619859781,0.5777739390171703,9.494974862913493,844.8915947690398,52.86031869629036,bremen,12.684031108557232,1.854058064294503,0.5399140864220197,5.994266508536367,marseille,0.193764563170026,darmstadt,0.18794252080321996,zurich,0.18208388770755912,0.563790971680805,18,300000,200000,200000,4000,4000,31,abd00d5cef12,histgb
kassel,12,284.223783280245,0.3175084784425434,119.60434365113163,0.24548341463483322,86.01636490552818,101.20113400079178,90.2434609664938,104.1391082279895,99.42823776747701,13.895647261495697,9.184776800983215,33.592037812228796,4972.401307054924,81.08312107395663,augsburg,30.409824600677457,1.7192414040789814,0.5006545749015816,4.768975590354528,marseille,0.3083361577008481,torino,0.2433712727914988,GLOBAL,0.16873166951743593,0.7204391000097828,12,280441,90962,91106,4000,4000,31,abd00d5cef12,histgb
london,12,257.7723422288941,0.25367925152257137,76.11890533833501,0.14092964751407816,59.58642883045975,70.45000932013177,65.39149483984598,113.82574831841039,73.81933549108456,48.434253478564415,8.427840651238583,26.220946473969246,3492.424697764393,93.7294039468927,bremen,31.850901219422628,2.1716468038691534,0.6323980476784409,7.577849573181848,augsburg,0.20867681362292312,stuttgart,0.15089786424303306,zurich,0.14838891591302064,0.5079635937789768,22,300000,200000,200000,4000,4000,31,abd00d5cef12,histgb
losangeles,12,955.5131312844969,0.12663960074832672,177.45821480756405,0.31811665305620784,114.88478561651141,199.72637193360893,121.00580145565219,181.18256686634626,158.97050183426538,60.176765410694074,37.96470037861319,96.62897705478842,11030.900009282668,844.9755539296832,taipeh,112.68118115611941,1.8253629325237501,0.5315578724753649,5.3280130709597175,marseille,0.28504231502480615,taipeh,0.20169325120360468,manchester,0.17551870326406135,0.6622542694924722,26,300000,200000,200000,4000,4000,31,abd00d5cef12,histgb
luzern,12,292.53633666666667,0.5254811391548583,158.53162718484847,0.030336531797858057,193.83035014036614,208.3337551570313,153.72232743578914,117.8939907429359,122.64922507495989,-35.82833669285324,-31.073102360829253,71.12895200765806,35331.24951395264,107.63688731626897,taipeh,71.16949430141787,0.18289587643648125,0.05326050027140466,1.0150540751440311,GLOBAL,0.991482489753543,losangeles,0.04661857904782084,bolton,0.002522988504295429,1.0406240573056593,8,300000,200000,200000,4000,4000,31,abd00d5cef12,histgb
madrid,12,494.9024881666666,0.28395140694568394,142.95856341666664,0.017000070109396602,161.66869771581995,168.84376364236408,140.52825781584468,131.40414226725136,128.58576308253163,-9.124115548593323,-11.942494733313055,66.52541149509527,10368.859603896353,308.83782911358844,taipeh,77.37554363167114,1.545992384756228,0.4502033038262345,2.8971220303853857,taipeh,0.5596580040546218,bordeaux,0.11961723768800905,losangeles,0.07709352080401197,0.7563687625466429,14,300000,200000,200000,4000,4000,31,abd00d5cef12,histgb
manchester,12,413.24087,0.18564127744382958,108.25068,0.291324885914809,68.93886198867227,96.17402816284284,76.71456299879951,103.12934048412656,89.94139719778617,26.41477748532705,13.226834198986666,45.05775852169614,4778.636921225165,522.5084307499438,bolton,55.41682390086239,1.5799823754249558,0.46010141603362226,3.6772853869160658,bolton,0.41132827309030895,torino,0.287402953223102,strasbourg,0.10543404190015644,0.8041652682135674,15,300000,200000,200000,4000,4000,31,abd00d5cef12,histgb
marseille,12,401.298895,0.2440516944651836,125.003965,0.2165234493821392,91.25212835940316,111.54110278742834,97.9376753117558,118.62206363612468,110.98358159027016,20.684388324368882,13.045906278514366,46.92422308148422,5701.421591437643,181.67214087756318,strasbourg,47.19664550867192,1.6168000797781408,0.4708229773443625,4.149264476346846,cagliari,0.333769097216546,torino,0.2939701943338829,GLOBAL,0.1782822014824683,0.8060214930328973,22,300000,200000,200000,4000,4000,31,abd00d5cef12,histgb
paris,12,1016.8583257648809,0.1937431252083712,700.5184382583332,0.718766417601148,162.74047326703675,368.70149878357745,197.00930992784004,401.96862672635444,414.3221067518395,204.9593167985144,217.31279682399946,363.72981668755153,27058.984108050143,1234.4015921283572,GLOBAL,345.0737076327231,0.7628936839567949,0.22215973401426073,1.3919404712410721,GLOBAL,0.8407694242838999,santander,0.10137290782755055,bern,0.025057319626420632,0.9671996517378711,14,300000,200000,200000,4000,4000,31,abd00d5cef12,histgb
