City,PeerName,Weight,Rank,HorizonSteps,CacheHash,ModelType
bordeaux,taipeh,2.6870983895492933e-06,12,12,abd00d5cef12,histgb
bordeaux,hamburg,1.7257575274092277e-06,13,12,abd00d5cef12,histgb
bordeaux,graz,1.6119206241446597e-06,14,12,abd00d5cef12,histgb
bordeaux,bern,7.617644145162699e-07,15,12,abd00d5cef12,histgb
bordeaux,speyer,5.827766840462504e-07,16,12,abd00d5cef12,histgb
bordeaux,london,5.793474609741946e-07,17,12,abd00d5cef12,histgb
bordeaux,GLOBAL,5.52090475538484e-07,18,12,abd00d5cef12,histgb
bordeaux,augsburg,2.0757624785153088e-07,19,12,abd00d5cef12,histgb
bordeaux,madrid,1.0410436683649793e-07,20,12,abd00d5cef12,histgb
bordeaux,manchester,-4.3165824558835394e-08,21,12,abd00d5cef12,histgb
bordeaux,santander,-1.4563114487477728e-07,22,12,abd00d5cef12,histgb
bordeaux,marseille,-1.280264580131704e-06,23,12,abd00d5cef12,histgb
bordeaux,bolton,-1.4970348185657982e-06,24,12,abd00d5cef12,histgb
bordeaux,cagliari,-1.9565806121154222e-06,25,12,abd00d5cef12,histgb
bordeaux,rotterdam,-2.025537659507352e-06,26,12,abd00d5cef12,histgb
bordeaux,zurich,-2.176129947476574e-06,27,12,abd00d5cef12,histgb
bordeaux,wolfsburg,-2.3340968947301494e-06,28,12,abd00d5cef12,histgb
bordeaux,darmstadt,-2.6054707809269947e-06,29,12,abd00d5cef12,histgb
bordeaux,toronto,-2.8755669010906577e-06,30,12,abd00d5cef12,histgb
bordeaux,essen,-4.172718733066749e-06,31,12,abd00d5cef12,histgb
bremen,strasbourg,0.16615247667836125,1,12,abd00d5cef12,histgb
bremen,augsburg,0.1603878972121782,2,12,abd00d5cef12,histgb
bremen,speyer,0.15527380585288653,3,12,abd00d5cef12,histgb
bremen,wolfsburg,0.13240259172949512,4,12,abd00d5cef12,histgb
bremen,darmstadt,0.12391771116826919,5,12,abd00d5cef12,histgb
bremen,hamburg,0.10441002329392475,6,12,abd00d5cef12,histgb
bremen,marseille,0.06504068586695144,7,12,abd00d5cef12,histgb
bremen,cagliari,0.04136629804755996,8,12,abd00d5cef12,histgb
bremen,stuttgart,0.020215581534481126,9,12,abd00d5cef12,histgb
bremen,bern,0.017860935502422945,10,12,abd00d5cef12,histgb
bremen,GLOBAL,0.010082284557534961,11,12,abd00d5cef12,histgb
bremen,luzern,0.0028830481492493187,12,12,abd00d5cef12,histgb
bremen,paris,2.2992642242504316e-06,13,12,abd00d5cef12,histgb
bremen,santander,1.932099769201292e-06,14,12,abd00d5cef12,histgb
bremen,madrid,1.3620818811533342e-06,15,12,abd00d5cef12,histgb
bremen,losangeles,1.0226329617146394e-06,16,12,abd00d5cef12,histgb
bremen,bolton,7.141231507209342e-07,17,12,abd00d5cef12,histgb
bremen,rotterdam,5.331973145778151e-07,18,12,abd00d5cef12,histgb
bremen,manchester,4.1424908235500247e-07,19,12,abd00d5cef12,histgb
bremen,taipeh,2.211204066013784e-07,20,12,abd00d5cef12,histgb
bremen,toulouse,6.292053326200175e-08,21,12,abd00d5cef12,histgb
bremen,bordeaux,5.4961037090961525e-08,22,12,abd00d5cef12,histgb
bremen,torino,3.788776434159017e-08,23,12,abd00d5cef12,histgb
bremen,london,3.1679669240511267e-08,24,12,abd00d5cef12,histgb
bremen,kassel,2.0035917256025272e-08,25,12,abd00d5cef12,histgb
bremen,essen,4.895676876406236e-09,26,12,abd00d5cef12,histgb
bremen,graz,-1.0824482977459272e-07,27,12,abd00d5cef12,histgb
bremen,zurich,-1.1563564163589204e-07,28,12,abd00d5cef12,histgb
bremen,constance,-1.544062684780868e-07,29,12,abd00d5cef12,histgb
bremen,toronto,-7.476863051750418e-07,30,12,abd00d5cef12,histgb
bremen,basel,-9.194325314357988e-07,31,12,abd00d5cef12,histgb
cagliari,marseille,0.7034347769473481,1,12,abd00d5cef12,histgb
cagliari,hamburg,0.1322718912174385,2,12,abd00d5cef12,histgb
cagliari,constance,0.06821622586831701,3,12,abd00d5cef12,histgb
cagliari,paris,0.03163056300397606,4,12,abd00d5cef12,histgb
cagliari,augsburg,0.027291064337619898,5,12,abd00d5cef12,histgb
cagliari,taipeh,0.025552764416045693,6,12,abd00d5cef12,histgb
cagliari,luzern,0.0073394700790590985,7,12,abd00d5cef12,histgb
cagliari,madrid,0.004383871463327339,8,12,abd00d5cef12,histgb
cagliari,rotterdam,3.0360447147585378e-05,9,12,abd00d5cef12,histgb
cagliari,santander,1.3941366281924143e-05,10,12,abd00d5cef12,histgb
cagliari,toronto,1.0066308630177226e-05,11,12,abd00d5cef12,histgb
cagliari,bolton,5.256665619587471e-06,12,12,abd00d5cef12,histgb
cagliari,bern,2.6681288318069615e-06,13,12,abd00d5cef12,histgb
cagliari,GLOBAL,1.1987998803703167e-06,14,12,abd00d5cef12,histgb
cagliari,basel,9.995692092394614e-07,15,12,abd00d5cef12,histgb
cagliari,essen,-9.503797818862617e-07,16,12,abd00d5cef12,histgb
cagliari,kassel,-1.3605632001838308e-06,17,12,abd00d5cef12,histgb
cagliari,strasbourg,-4.13567539235994e-06,18,12,abd00d5cef12,histgb
cagliari,bordeaux,-5.53540803909512e-06,19,12,abd00d5cef12,histgb
cagliari,torino,-6.2240195501594895e-06,20,12,abd00d5cef12,histgb
cagliari,bremen,-8.456552312593343e-06,21,12,abd00d5cef12,histgb
cagliari,toulouse,-9.460791243849526e-06,22,12,abd00d5cef12,histgb
cagliari,stuttgart,-1.1635089914128334e-05,23,12,abd00d5cef12,histgb
cagliari,manchester,-1.2833232694025312e-05,24,12,abd00d5cef12,histgb
cagliari,wolfsburg,-1.4581522936383276e-05,25,12,abd00d5cef12,histgb
cagliari,losangeles,-1.5228592827315132e-05,26,12,abd00d5cef12,histgb
cagliari,graz,-1.6401807433164306e-05,27,12,abd00d5cef12,histgb
cagliari,zurich,-1.6747960781675577e-05,28,12,abd00d5cef12,histgb
cagliari,darmstadt,-1.7459473892815783e-05,29,12,abd00d5cef12,histgb
cagliari,london,-2.1312547438453847e-05,30,12,abd00d5cef12,histgb
cagliari,speyer,-2.273758851685084e-05,31,12,abd00d5cef12,histgb
constance,graz,0.3253803156630786,1,12,abd00d5cef12,histgb
constance,speyer,0.19703779819448755,2,12,abd00d5cef12,histgb
constance,stuttgart,0.1787365930493777,3,12,abd00d5cef12,histgb
constance,bordeaux,0.1411343233447407,4,12,abd00d5cef12,histgb
constance,basel,0.11223915107308001,5,12,abd00d5cef12,histgb
constance,toronto,0.02496128192031871,6,12,abd00d5cef12,histgb
constance,augsburg,0.011404523839029618,7,12,abd00d5cef12,histgb
constance,essen,0.009137068990328193,8,12,abd00d5cef12,histgb
constance,bern,1.3536289501777913e-05,9,12,abd00d5cef12,histgb
constance,kassel,5.227855903818031e-06,10,12,abd00d5cef12,histgb
constance,wolfsburg,4.795422919805681e-06,11,12,abd00d5cef12,histgb
constance,darmstadt,4.089631173452483e-06,12,12,abd00d5cef12,histgb
constance,zurich,2.8669937980600068e-06,13,12,abd00d5cef12,histgb
constance,bremen,2.0471951915365607e-06,14,12,abd00d5cef12,histgb
constance,santander,1.238380950639481e-06,15,12,abd00d5cef12,histgb
constance,rotterdam,9.596346389179114e-07,16,12,abd00d5cef12,histgb
constance,london,4.104409196521141e-07,17,12,abd00d5cef12,histgb
constance,madrid,-6.494517927604223e-07,18,12,abd00d5cef12,histgb
constance,GLOBAL,-9.510314870460136e-07,19,12,abd00d5cef12,histgb
constance,hamburg,-1.1169127921016178e-06,20,12,abd00d5cef12,histgb
constance,luzern,-2.4090641511557575e-06,21,12,abd00d5cef12,histgb
constance,strasbourg,-2.7552810298809323e-06,22,12,abd00d5cef12,histgb
constance,marseille,-2.875671626727163e-06,23,12,abd00d5cef12,histgb
constance,losangeles,-3.6197670844469523e-06,24,12,abd00d5cef12,histgb
constance,toulouse,-5.829063842129901e-06,25,12,abd00d5cef12,histgb
